Faculty,Are you currently taking any add-on or extra cocurricular courses outside of your major requirements?,Do you prefer courses that are more theoretical or practical in nature?,Are you interested to learn add on courses?,Which Programming Languages are you Proficient in?,Interested in,What are your Primary areas of interest within computer Science field?,Do you have any background knowledge in
Science,No,Both,Yes,Python,Web Development;Android App Development;Windows Application Development,AI/ML;Data Science;Software Engineering,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Theoretical,Yes,Python,Windows Application Development,Data Science,Operating System
Science,Yes,Both,Yes,C/C++,Web Development;Android App Development;Windows Application Development,Data Science;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure
Science,Yes,Practical,Yes,C/C++,Windows Application Development,CyberSecurity,C/C++
Science,Yes,Both,Yes,Python;Java;C/C++;JavaScript;Angular JS,Web Development;Android App Development;Windows Application Development;Application Development;Utility Software,AI/ML;Data Science;Software Engineering;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure;Angular JS;Node JS;Software Engineering
Science,No,Practical,Yes,Python;C/C++,Android App Development,Software Engineering,C/C++
Science,No,Both,Yes,C/C++,Web Development;Android App Development,CyberSecurity;Web Developement,C/C++
Science,No,Both,Yes,C/C++,Web Development,Data Science,C/C++
Science,No,Both,Yes,C/C++,Web Development,CyberSecurity,C/C++
Science,No,Both,Yes,Python;C/C++,Web Development;Windows Application Development,Data Science;Web Developement,C/C++;Operating System;Data Structure
Science,Yes,Practical,Yes,C/C++,Android App Development,Software Engineering,C/C++
Science,No,Both,Yes,Python;Java;C/C++;JavaScript;Angular JS,Android App Development;Windows Application Development,AI/ML;Data Science;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,C/C++,Web Development;Windows Application Development,AI/ML;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure
Science,No,Both,Yes,C/C++,Application Development,CyberSecurity,Operating System
Science,No,Practical,Yes,C/C++,Android App Development,Software Engineering;CyberSecurity,C/C++;Operating System
Science,Yes,Both,Yes,C/C++,Windows Application Development,Software Engineering;Web Developement,Software Engineering
