Faculty,Are you currently taking any add-on or extra cocurricular courses outside of your major requirements?,Do you prefer courses that are more theoretical or practical in nature?,Are you interested to learn add on courses?,Which Programming Languages are you Proficient in?,
Science,No,Both,Yes,C/C++;JavaScript,C/C++;Data Structure;Software Engineering
Science,Yes,Practical,Yes,C/C++,Data Structure
Science,Yes,Theoretical,Yes,Python,Software Engineering
Science,Yes,Both,Yes,Python,C/C++
Commerce,Yes,Both,Yes,C/C++,C/C++
Science,Yes,Both,Yes,Python;Java;C/C++;JavaScript;Angular JS,C/C++;Operating System;Data Structure;Angular JS;Node JS;Software Engineering
Science,No,Practical,Yes,Python,Operating System
Commerce,Yes,Practical,Yes,Java,C/C++;Operating System;Data Structure
Science,No,Practical,Yes,C/C++,C/C++
Commerce,No,Practical,Yes,C/C++,C/C++
Science,Yes,Practical,Yes,C/C++,C/C++
Commerce,No,Both,Yes,Python,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Theoretical,Yes,Python,Software Engineering
Science,No,Both,Yes,Python;C/C++;JavaScript,C/C++;Data Structure;Software Engineering
Commerce,Yes,Both,Yes,Java;C/C++;JavaScript,C/C++;Operating System
Science,Yes,Both,Yes,Python;Java;C/C++;JavaScript,Operating System;Data Structure
Commerce,No,Practical,Yes,C/C++,Software Engineering
Science,Yes,Both,Yes,Python;Java;C/C++;JavaScript,C/C++
Science,No,Practical,No,C/C++,C/C++
Commerce,Yes,Both,Yes,Java,C/C++;Operating System;Data Structure;Angular JS;Software Engineering
Commerce,Yes,Both,Yes,Java,C/C++;Angular JS;Node JS
Commerce,Yes,Both,Yes,Python,Angular JS;Node JS
Science,No,Both,Yes,C/C++,C/C++
Commerce,No,Practical,Yes,C/C++,C/C++;Operating System;Software Engineering
Commerce,Yes,Both,Yes,C/C++,Data Structure
Commerce,Yes,Both,Yes,Java;C/C++,C/C++;Operating System;Software Engineering
Commerce,Yes,Practical,Yes,Java,C/C++;Operating System;Software Engineering
Science,No,Both,Yes,Python;Java;C/C++;JavaScript;Angular JS,C/C++;Operating System;Data Structure;Angular JS;Node JS;Software Engineering
Commerce,No,Practical,Yes,Java;C/C++;JavaScript,C/C++;Operating System;Data Structure;Angular JS;Software Engineering
Science,No,Both,Yes,Python;C/C++;JavaScript,C/C++
Science,No,Both,Yes,Python;Java;C/C++,C/C++;Operating System;Data Structure
Commerce,No,Both,Yes,C/C++,C/C++;Operating System;Software Engineering
Commerce,Yes,Both,Yes,Python,C/C++
Commerce,No,Both,Yes,Java,C/C++;Operating System;Data Structure;Angular JS;Node JS;Software Engineering
Commerce,Yes,Both,No,C/C++,C/C++;Operating System;Data Structure
Commerce,No,Both,Yes,C/C++,C/C++
Science,Yes,Practical,Yes,C/C++,C/C++;Data Structure
Science,No,Practical,Yes,C/C++,C/C++;Operating System;Data Structure
Commerce,Yes,Practical,Yes,C/C++;JavaScript,C/C++;Operating System;Data Structure;Software Engineering
Commerce,Yes,Theoretical,Yes,Python;Java;C/C++;JavaScript;Angular JS,C/C++;Operating System;Data Structure;Angular JS;Node JS;Software Engineering
Science,Yes,Practical,Yes,Java,Operating System;Data Structure
Commerce,Yes,Both,Yes,C/C++,C/C++
Commerce,Yes,Both,Yes,C/C++,Operating System
Commerce,No,Both,Yes,C/C++,C/C++
Science,No,Both,Yes,C/C++,C/C++;Data Structure
Science,No,Both,Yes,C/C++,C/C++
Commerce,No,Both,Yes,C/C++,C/C++;Operating System;Data Structure;Software Engineering
Commerce,Yes,Both,Yes,C/C++,C/C++
Commerce,No,Practical,Yes,Python;Java,C/C++
Commerce,No,Practical,No,Python,C/C++;Operating System;Data Structure;Software Engineering
Commerce,No,Both,Yes,Java,Software Engineering
Science,Yes,Practical,Yes,Python;C/C++,C/C++;Data Structure
Science,Yes,Both,Yes,C/C++,C/C++
Science,Yes,Practical,Yes,Angular JS,C/C++
Commerce,Yes,Both,Yes,Java,C/C++
Commerce,Yes,Both,Yes,Python,C/C++
Science,No,Both,Yes,C/C++,C/C++
Science,No,Both,Yes,C/C++,C/C++
Science,No,Theoretical,Yes,Python;C/C++,C/C++;Data Structure
Science,No,Practical,Yes,Python,C/C++
