Faculty,Are you currently taking any add-on or extra cocurricular courses outside of your major requirements?,Do you prefer courses that are more theoretical or practical in nature?,Are you interested to learn add on courses?,Which Programming Languages are you Proficient in?,Interested in,What are your Primary areas of interest within computer Science field?,Do you have any background knowledge in
Commerce,Yes,Both,Yes,Python;C/C++;JavaScript,Web Development;Windows Application Development,AI/ML;Data Science,C/C++
Science,Yes,Practical,Yes,Python;JavaScript;Angular JS,Web Development;Android App Development;Application Development,Software Engineering;Web Developement,C/C++;Data Structure
Science,Yes,Both,Yes,Java;JavaScript,Web Development;Android App Development;Application Development,Data Science;Software Engineering;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Commerce,Yes,Practical,Yes,JavaScript,Web Development,AI/ML;Web Developement,C/C++;Data Structure
Commerce,No,Theoretical,Yes,Python;C/C++,Web Development,Software Engineering;CyberSecurity;Web Developement,Operating System;Software Engineering
Science,Yes,Both,Yes,Java,Web Development,Data Science,C/C++
Commerce,Yes,Both,Yes,Java,Application Development,Web Developement,C/C++
Science,Yes,Both,Yes,Python;Java;C/C++,Web Development,Web Developement,C/C++
Science,No,Practical,Yes,Python,Web Development;Android App Development,Software Engineering;Web Developement,C/C++
Science,No,Both,Yes,C/C++,Android App Development;Application Development,Data Science;CyberSecurity,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,C/C++,Web Development;Windows Application Development,AI/ML;Data Science;CyberSecurity,C/C++;Operating System
Commerce,Yes,Practical,Yes,JavaScript,Web Development,Web Developement,Data Structure
Commerce,Yes,Both,Yes,C/C++,Web Development;Utility Software,Software Engineering;Web Developement,C/C++;Operating System;Data Structure
Science,Yes,Theoretical,Yes,C/C++,Web Development,CyberSecurity,C/C++
Science,No,Both,Yes,Java,Android App Development,Data Science;Software Engineering;Web Developement,Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,Python;C/C++;JavaScript,Web Development;Android App Development;Application Development,AI/ML;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure
Commerce,Yes,Both,Yes,C/C++,Application Development,Software Engineering,C/C++
Commerce,No,Both,Yes,Python;Java;C/C++;JavaScript,Web Development;Android App Development;Windows Application Development,Data Science;Software Engineering;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Commerce,No,Both,Yes,Java,Web Development,Web Developement,Data Structure
Commerce,Yes,Practical,Yes,C/C++,Web Development,Web Developement,C/C++
Commerce,No,Both,Yes,C/C++;JavaScript,Web Development;Android App Development,Web Developement,C/C++
Commerce,Yes,Both,Yes,Java,Android App Development,Web Developement,C/C++
Science,No,Both,Yes,C/C++,Web Development;Application Development,CyberSecurity;Web Developement,C/C++;Data Structure
Science,No,Both,Yes,C/C++,Web Development;Android App Development;Windows Application Development,AI/ML;CyberSecurity;Web Developement,C/C++;Data Structure
Commerce,Yes,Practical,Yes,C/C++;JavaScript,Web Development;Android App Development;Windows Application Development,Data Science;CyberSecurity,C/C++;Operating System;Data Structure;Software Engineering
Science,No,Both,Yes,C/C++,Web Development;Android App Development;Application Development,Web Developement,C/C++;Operating System
Commerce,No,Theoretical,Yes,C/C++,Web Development;Android App Development,Software Engineering;Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Commerce,Yes,Practical,Yes,Java;C/C++,Web Development;Android App Development;Windows Application Development;Application Development;Utility Software,AI/ML;CyberSecurity;Web Developement,C/C++;Operating System;Data Structure;Software Engineering
Commerce,No,Both,Yes,Java,Web Development,Web Developement,C/C++
